"id","name"
1856,"Stettler Jürg"
1857,"Ralf Kaegi"
1858,"Ansgar Kahmen"
1859,"Christian Kaiser"
1860,"Yogeshvar Kalia"
1861,"Maryam Kamgarpour"
1862,"Niklaus Kämpfer"
1863,"Mikhaïl Kanevski"
1864,"Jed Kaplan"
1865,"Susanne Karn"
1866,"Michel Kasser"
1867,"Muff Katrin"
1868,"Vincent Kaufmann"
1869,"Tadeusz J. Kawecki"
1870,"Margreth Keiler"
1871,"Andreas Keiser"
1872,"Beat Keller"
1873,"Helen Keller"
1874,"Laurent Keller"
1875,"Lukas Keller"
1876,"Stefan Keller"
1877,"Thomas Keller"
1878,"Markus Kellerhals"
1879,"Albin Kenel"
1880,"Marc Kenis"
1881,"Felix Kessler"
1884,"Rolf Kipfer"
1885,"James W. Kirchner"
1886,"Edi Kissling"
1887,"Matthias Kistler"
1888,"Zuberbuehler Klaus"
1889,"Mirko Kleingries"
1890,"Seraina Klopfenstein"
1891,"Jean-Paul Kneib"
1892,"Eva Knop"
1893,"Reto Knutti"
1894,"Tom Kober"
1895,"Matthias Koebel"
1896,"Hans-Peter Kohler"
1897,"Tamar Kohn"
1898,"Hanna Kokko"
1899,"Johann Walter Kolar"
1900,"Alfred Koller"
1901,"Barbara König"
1902,"Thomas Konzelmann"
1903,"Benedikt Korf"
1904,"Christian Kottler"
1905,"Gregor Kozlowski"
1906,"Nicolas Kramar"
1907,"Walter Krebs"
1908,"Klaus Kreher"
1909,"Ruben Kretzschmar"
1911,"Michael Kreuzer"
1912,"Stefan Neuenschwander"
1913,"Oliver Kröcher"
1914,"Wolfgang Kröger"
1915,"Christian Kropf"
1916,"Frank Cristian Krysiak"
1917,"Christoph Küffer"
1918,"Cris Kuhlemeier"
1919,"Ulrich Kuhlmann"
1920,"André Kuhn"
1921,"Nikolaus Kuhn"
1922,"Lucia Kuhn-Nentwig"
1923,"Christian Kull"
1924,"Beatrice Kulli"
1925,"Andreas Küng"
1926,"Bruno Kunz"
1927,"Heike Kunz"
1928,"Rahel Kunz"
1929,"Christine Künzli David"
1930,"Thomas Kupper"
1931,"Stefan Kurath"
1932,"Niels Kuster"
1933,"Susanne Kytzia"
1935,"Bernard Lachal"
1936,"Thibault Lachat"
1937,"Christian Laesser"
1938,"Francine Laferrière"
1939,"Lyesse Laloui"
1940,"Christophe Lambiel"
1941,"Vittorio Magnago Lampugnani"
1942,"Inès Lamunière"
1943,"Stuart Lane"
1944,"Adrian Lanz"
1945,"Bruno Lanz"
1946,"Tove Larsen"
1947,"Olivier Lateltin"
1948,"Patrick Laube"
1949,"Gabor Laurenczy"
1950,"Lehmann Laurent"
1952,"Henning Lebrenz"
1953,"François Lefort"
1954,"Anthony Lehmann"
1955,"Moritz Lehmann"
1956,"Robert Lehmann"
1957,"Therese Lehmann"
1958,"Florian Leiber"
1959,"Jens Leifeld"
1960,"Joao Paulo Leitao"
1961,"Markus Leuenberger"
1962,"Jürg Leuthold"
1963,"Mark Lever"
1964,"Jonathan Levine"
1965,"Jacques Lévy"
1967,"Judit Lienert"
1968,"Andreas Lienhard"
1970,"Peter  Linder"
1971,"Anna Lindholm"
1972,"Mark Liniger"
1973,"Markus Lips"
1974,"Heike Lischke"
1975,"Jessica Litman"
1976,"Martine Logossou"
1977,"Ulrike Lohmann"
1979,"Luis Lopez-Molina"
1980,"Luigi Lorenzetti"
1981,"Simon Löw"
1982,"Simon Lüchinger"
1983,"Christian Ludwig"
1984,"Christoph Luethi"
1985,"Thierry Luginbühl"
1986,"Bänz Lundsgaard-Hansen"
1987,"Andreas Lüscher"
1988,"Jörg Luster"
